Uid,Handle,Link,Party,Clickable URL
22812754,RepGregoryMeeks,https://twitter.com/RepGregoryMeeks,D,https://twitter.com/RepGregoryMeeks
854715071116849000,RepRonEstes,https://twitter.com/RepRonEstes,R,https://twitter.com/RepRonEstes
398193180,JimmyGomezCA,https://twitter.com/JimmyGomezCA,D,https://twitter.com/JimmyGomezCA
15673703,karenhandel,https://twitter.com/karenhandel,R,https://twitter.com/karenhandel
1849261916,RepBlaine,https://twitter.com/RepBlaine,R,https://twitter.com/RepBlaine
818460870573441000,RepTomGarrett,https://twitter.com/RepTomGarrett,R,https://twitter.com/RepTomGarrett
2869746172,MIDaveTrott,https://twitter.com/MIDaveTrott,R,https://twitter.com/MIDaveTrott
855240223432769000,ConorLambPA,https://twitter.com/ConorLambPA,D,https://twitter.com/ConorLambPA
61886317,RalphNorman,https://twitter.com/RalphNorman,R,https://twitter.com/RalphNorman
17896154,farenthold,https://twitter.com/farenthold,R,https://twitter.com/farenthold
168673083,repdavidscott,https://twitter.com/repdavidscott,D,https://twitter.com/repdavidscott
15600527,RepShimkus,https://twitter.com/RepShimkus,R,https://twitter.com/RepShimkus
1289319271,RepChrisSmith,https://twitter.com/RepChrisSmith,R,https://twitter.com/RepChrisSmith
912608010,PatTiberi,https://twitter.com/PatTiberi,R,https://twitter.com/PatTiberi
161743731,RepKayGranger,https://twitter.com/RepKayGranger,R,https://twitter.com/RepKayGranger
1883356866,RepJohnDuncanJr,https://twitter.com/RepJohnDuncanJr,R,https://twitter.com/RepJohnDuncanJr
63169388,louiseslaughter,https://twitter.com/louiseslaughter,D,https://twitter.com/louiseslaughter
950328072,RepPittenger,https://twitter.com/RepPittenger,R,https://twitter.com/RepPittenger
234822928,RepBobGibbs,https://twitter.com/RepBobGibbs,R,https://twitter.com/RepBobGibbs
138770045,RepJohnConyers,https://twitter.com/RepJohnConyers,D,https://twitter.com/RepJohnConyers
36686040,RepMaxineWaters,https://twitter.com/RepMaxineWaters,D,https://twitter.com/RepMaxineWaters
815985039485837000,RepLouCorrea,https://twitter.com/RepLouCorrea,D,https://twitter.com/RepLouCorrea
1092757885,RepJBridenstine,https://twitter.com/RepJBridenstine,R,https://twitter.com/RepJBridenstine
267938462,RepZoeLofgren,https://twitter.com/RepZoeLofgren,D,https://twitter.com/RepZoeLofgren
19929362,RepJoeBarton,https://twitter.com/RepJoeBarton,R,https://twitter.com/RepJoeBarton
114607567,brettguthrie,https://twitter.com/brettguthrie,R,https://twitter.com/brettguthrie
377534571,MacTXPress,https://twitter.com/MacTXPress,R,https://twitter.com/MacTXPress
23970171,TomRooney,https://twitter.com/TomRooney,R,https://twitter.com/TomRooney
25086658,congbillposey,https://twitter.com/congbillposey,R,https://twitter.com/congbillposey
344972339,RepDevinNunes,https://twitter.com/RepDevinNunes,R,https://twitter.com/RepDevinNunes
19139963,DanaRohrabacher,https://twitter.com/DanaRohrabacher,R,https://twitter.com/DanaRohrabacher
15856366,LamarSmithTX21,https://twitter.com/LamarSmithTX21,R,https://twitter.com/LamarSmithTX21
2953494478,RepRyanZinke,https://twitter.com/RepRyanZinke,R,https://twitter.com/RepRyanZinke
26574496,gianforte,https://twitter.com/gianforte,R,https://twitter.com/gianforte
6577802,RepTomPrice,https://twitter.com/RepTomPrice,R,https://twitter.com/RepTomPrice
